SP ID,Gender,Age,Total Years of Experience,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Education/Qualifications,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages
SP001,Male,32,5,DataCo,Data Scientist,ML model development,Data Science,M.Sc,Data Science,Statistical Analysis,"Python, R, SQL",Data Analysis,"[""English"", ""Hindi""]"
SP002,Female,29,3,TechCorp,Data Scientist,Data visualization and reporting,Data Science,B.Tech,Computer Science,Data Storytelling,"Tableau, Power BI",Data Visualization,"[""Spanish""]"
SP003,Male,35,8,Analytica Solutions,Machine Learning Engineer,Building & deploying scalable ML models,Technology,M.Eng,Artificial Intelligence,Cloud Computing (AWS),"Python, TensorFlow, Keras, AWS",Machine Learning,"[""English"", ""Mandarin""]"
SP004,Female,27,4,Insightful Data,Data Analyst,"Creating dashboards, SQL querying, A/B testing analysis",E-commerce,B.Sc,Statistics,Business Acumen,"SQL, Excel, Tableau, Python",Data Analysis,"[""English"", ""French""]"
SP005,Male,40,12,BizIntel Corp,BI Developer,"Designing ETL pipelines, developing BI reports",Business Intelligence,M.Sc,Information Systems,Project Management,"SQL Server, SSIS, Power BI, DAX",Business Intelligence,"[""English""]"
SP006,Female,28,5,CodeCrafters Inc.,Software Engineer,Full-stack web application development,Technology,B.Eng,Software Engineering,Agile Methodologies,"Java, Spring Boot, React, SQL",Full-Stack Development,"[""English"", ""German""]"
SP007,Male,31,7,Web Solutions LLC,Frontend Developer,"Developing user interfaces, optimizing web performance",Web Development,B.Sc,Computer Science,UI/UX Principles,"JavaScript, HTML, CSS, Vue.js",Frontend Development,"[""English""]"
SP008,Female,34,9,Cloud Systems,Backend Developer,"API design, database management, server-side logic",Cloud Computing,M.Sc,Computer Science,Microservices,"Python, Django, PostgreSQL, Docker",Backend Development,"[""English"", ""Spanish""]"
SP009,Male,25,2,AppDev Co.,Mobile Developer (iOS),Developing and maintaining iOS applications,Mobile Technology,B.Tech,Computer Engineering,Problem Solving,"Swift, Xcode, UIKit",iOS Development,"[""English""]"
SP010,Female,30,6,QualitySoft,QA Engineer,"Test planning, automated testing, bug tracking",Software Testing,B.Sc,Information Technology,Test Automation,"Selenium, Jira, Postman, Java",Quality Assurance,"[""English"", ""Hindi""]"
SP011,Male,38,14,InfraServe,DevOps Engineer,"CI/CD pipeline management, cloud infrastructure automation",IT Operations,B.Eng,Electrical Engineering,Infrastructure as Code,"AWS, Jenkins, Kubernetes, Terraform",DevOps,"[""English""]"
SP012,Female,26,3,GameWorld Studios,Game Developer,"Implementing game mechanics, optimizing performance",Gaming,B.Sc,Game Development,3D Math,"C++, Unreal Engine, Unity",Game Development,"[""English"", ""Japanese""]"
SP013,Male,42,18,SecureTech,Security Engineer,"Penetration testing, vulnerability assessment, security audits",Cybersecurity,M.Sc,Cybersecurity,Risk Assessment,"Metasploit, Wireshark, Python",Network Security,"[""English""]"
SP014,Female,29,5,DataLink Solutions,Software Engineer,Developing data processing applications,Data Engineering,B.Eng,Computer Science,Big Data Technologies,"Scala, Spark, Kafka, Hadoop",Data Engineering,"[""English"", ""French""]"
SP015,Male,33,8,Embedded Systems Inc.,Embedded Software Engineer,"Firmware development, hardware debugging",Embedded Systems,M.Eng,Computer Engineering,Real-time Systems,"C, C++, RTOS, JTAG Debuggers",Embedded Development,"[""English""]"
SP016,Male,45,20,Smith & Jones Law,Partner,"Litigation strategy, client management, firm operations",Legal Services,JD,Law,Negotiation,"Westlaw, LexisNexis, MS Office",Litigation,"[""English""]"
SP017,Female,35,10,Global Legal Partners,Corporate Counsel,"Contract drafting/negotiation, M&A support, compliance",Corporate Law,"JD, LLM",Corporate Law,Business Acumen,"MS Office, Contract Management Sw",Contract Law,"[""English"", ""German""]"
SP018,Male,30,5,City Law Firm,Associate Attorney,"Legal research, drafting motions, court appearances",General Practice,JD,Law,Legal Writing,"Clio, MS Office, LexisNexis",Legal Research,"[""English"", ""Spanish""]"
SP019,Female,28,4,Justice Advocates,Paralegal,"Document preparation, case file management, client comms",Legal Services,Paralegal Certificate,Legal Studies,Organization,"MS Office Suite, Case Management Sw",Paralegal Support,"[""English""]"
SP020,Male,50,25,IP Rights Associates,Patent Attorney,"Patent prosecution, IP litigation, trademark filing",Intellectual Property,"JD, B.Sc (Engineering)",Patent Law,Technical Expertise,"USPTO EFS-Web, MS Office",Intellectual Property,"[""English""]"
SP021,Female,38,12,Family Matters Law,Family Law Attorney,"Divorce proceedings, child custody cases, mediation",Family Law,JD,Law,Mediation Skills,"MS Office, Family Law Software",Family Law,"[""English"", ""French""]"
SP022,Male,32,6,Real Estate Legal Group,Real Estate Attorney,"Property transactions, lease agreements, zoning issues",Real Estate Law,JD,Law,Negotiation,"MS Office, Property Database Sw",Real Estate Transactions,"[""English""]"
SP023,Female,41,15,EnviroLaw Consultants,Environmental Lawyer,"Regulatory compliance, environmental litigation",Environmental Law,"JD, M.Sc (Env Science)",Environmental Law,Policy Analysis,"Westlaw, GIS Software, MS Office",Environmental Compliance,"[""English""]"
SP024,Male,29,3,Public Defender's Office,Public Defender,Representing indigent clients in criminal cases,Criminal Law,JD,Law,Courtroom Presence,"MS Office, Legal Research Tools",Criminal Defense,"[""English"", ""Spanish""]"
SP025,Female,55,30,Civic Legal Services,Legal Aid Director,"Managing legal aid programs, fundraising, advocacy",Non-profit Legal,JD,Law,Non-profit Management,"MS Office, Grant Writing Software",Legal Aid Administration,"[""English""]"
SP026,Female,38,12,General Hospital,Registered Nurse (RN),"Patient assessment, administering medication, care plans",Healthcare,B.Sc Nursing (BSN),Nursing,Patient Advocacy,"EHR Systems (Epic), MS Office",Patient Care,"[""English"", ""Tagalog""]"
SP027,Male,48,22,City Clinic,General Practitioner (GP),"Diagnosing common illnesses, prescribing treatment, referrals",Primary Care,MD,Medicine,Patient Communication,"EMR Systems, MS Office",Diagnosis & Treatment,"[""English"", ""Spanish""]"
SP028,Female,32,7,PharmaCare Pharmacy,Pharmacist,"Dispensing medication, counseling patients, MTM",Pharmacy,Pharm.D,Pharmacy,Medication Management,Pharmacy Management Software,Pharmacology,"[""English"", ""Hindi""]"
SP029,Male,41,15,Healing Touch PT,Physical Therapist,"Developing rehab plans, therapeutic exercises, patient edu",Rehabilitation,DPT,Physical Therapy,Manual Therapy,"EMR Systems, MS Office",Physical Rehabilitation,"[""English""]"
SP030,Female,55,30,Metro Surgical Center,Surgeon (Orthopedic),"Performing surgeries, post-operative care, consultations",Surgery,"MD, Residency",Orthopedic Surgery,Surgical Dexterity,"EHR Systems, PACS Viewer",Orthopedic Surgery,"[""English"", ""French""]"
SP031,Male,29,4,County Health Dept.,Public Health Advisor,"Health program planning, community outreach, data analysis",Public Health,MPH,Public Health,Health Education,"MS Office, SAS/SPSS",Epidemiology,"[""English"", ""Spanish""]"
SP032,Female,36,10,Dental Care Associates,Dentist,"Dental exams, fillings, extractions, preventative care",Dentistry,DDS,Dentistry,Patient Comfort,Dental Practice Mgmt Software,General Dentistry,"[""English""]"
SP033,Male,44,18,Imaging Center,Radiologist,"Interpreting X-rays, CT scans, MRIs, reporting findings",Radiology,"MD, Residency",Diagnostic Radiology,Image Analysis,"PACS Systems, RIS",Medical Imaging Interp.,"[""English""]"
SP034,Female,27,3,Bright Futures Pediatrics,Medical Assistant,"Taking vitals, patient history, scheduling, assisting MD",Healthcare,Medical Assistant Cert.,Medical Assisting,Phlebotomy,"EMR Systems, MS Office",Clinical Support,"[""English"", ""Spanish""]"
SP035,Male,50,25,University Hospital,Hospital Administrator,"Overseeing hospital operations, budgeting, staff mgmt",Healthcare Admin,MHA,Health Administration,Leadership,"MS Office, Hospital Info Systems",Healthcare Management,"[""English""]"
SP036,Male,34,10,Global Finance Inc.,Financial Analyst,"Financial modeling, forecasting, variance analysis",Finance,MBA,Finance,Investment Analysis,"Excel (Advanced), Bloomberg, SAP",Financial Planning,"[""English"", ""Mandarin""]"
SP037,Female,42,18,AccuBooks Ltd.,Senior Accountant,"Financial reporting, auditing, tax preparation, GL mgmt",Accounting,"CPA, B.Com",Accounting,GAAP/IFRS Knowledge,"QuickBooks, SAP, Excel, Tax Sw",Accounting,"[""English""]"
SP038,Male,39,15,Strategy Consulting,Management Consultant,"Business process improvement, market analysis, strategy dev",Consulting,MBA,Business Strategy,Client Presentation,"PowerPoint, Excel, Tableau",Business Consulting,"[""English"", ""German""]"
SP039,Female,31,7,MarketLeads Co.,Marketing Manager,"Campaign management, SEO/SEM, social media strategy",Marketing,BBA,Marketing,Content Creation,"Google Analytics, HubSpot, MS Office",Digital Marketing,"[""English"", ""French""]"
SP040,Male,28,5,Capital Investments,Investment Banking Analyst,"M&A analysis, due diligence, financial modeling",Investment Banking,B.Sc,Economics,Valuation,"Excel, Bloomberg, FactSet",Financial Modeling,"[""English""]"
SP041,Female,45,20,Retail Corp Intl.,Operations Manager,"Supply chain management, inventory control, logistics",Retail Operations,M.Sc,Supply Chain Management,Logistics Planning,"SAP, Oracle SCM, MS Office",Operations Management,"[""English"", ""Spanish""]"
SP042,Male,36,11,Innovate Solutions,Sales Director,"Leading sales team, setting targets, key account mgmt",Technology Sales,BBA,Business Administration,Negotiation,"Salesforce, MS Office Suite",Sales Management,"[""English""]"
SP043,Female,29,6,FinTech StartUp,Product Manager,"Product roadmap definition, user stories, market research",FinTech,B.Eng,Computer Science,Agile Methodologies,"Jira, Confluence, Mixpanel",Product Management,"[""English"", ""Portuguese""]"
SP044,Male,52,28,Global Bank,Chief Financial Officer (CFO),"Financial strategy, risk management, investor relations",Banking,"MBA, CFA",Finance,Leadership,"SAP, Hyperion, Bloomberg",Financial Strategy,"[""English""]"
SP045,Female,33,9,Eco Ventures,Business Development Manager,"Identifying new market opportunities, partnerships, sales",Renewable Energy,M.Sc,Environmental Management,Networking,"Salesforce, LinkedIn Sales Nav",Business Development,"[""English"", ""German""]"
SP046,Male,37,15,Sparky Electric,Electrician (Master),"Wiring installation, troubleshooting, system upgrades",Electrical,"Trade Cert., Apprenticeship",Electrician,Safety Compliance (NEC),Basic Office Software,Electrical Installation,"[""English""]"
SP047,Female,30,8,PipeMasters Plumbing,Plumber,"Pipe fitting, fixture installation, drain cleaning",Plumbing,"Trade Cert., Apprenticeship",Plumber,Blueprint Reading,Basic Mobile Apps,Plumbing Repair,"[""English"", ""Spanish""]"
SP048,Male,44,20,WoodWorks Carpentry,Carpenter,"Framing, finishing work, cabinet installation",Carpentry,"Trade Cert., Apprenticeship",Carpenter,Woodworking Techniques,Basic Design Software,Finish Carpentry,"[""English""]"
SP049,Female,29,6,MetalFusion Welding,Welder,"TIG/MIG welding, fabrication, metal cutting",Welding/Fabrication,"Trade Cert., CWB Cert.",Welding,Metal Fabrication,Basic Office Software,"Welding (TIG, MIG)","[""English""]"
SP050,Male,40,18,CoolAir HVAC,HVAC Technician,Installation & repair of heating/cooling systems,HVAC,"Trade Cert., Gas Fitter Lic",HVAC Technician,Refrigerant Handling,"Diagnostic Tools, Basic Office Sw",HVAC Systems,"[""English""]"
SP051,Female,33,10,AutoFix Garage,Automotive Mechanic,"Engine diagnostics, brake repair, general maintenance",Automotive Repair,"Trade Cert., ASE Cert.",Automotive Technician,Diagnostics,"Diagnostic Scanners, AllData",Vehicle Maintenance,"[""English"", ""Spanish""]"
SP052,Male,51,28,Heavy Duty Repair,Diesel Mechanic,Heavy truck/equipment engine repair & maintenance,Heavy Equipment Repair,"Trade Cert., Apprenticeship",Diesel Mechanic,Hydraulic Systems,Diagnostic Software,Diesel Engine Repair,"[""English""]"
SP053,Female,26,4,Precision Machining,Machinist,"Operating CNC machines, tool setup, quality checks",Machining,Diploma,Machinist Technology,Quality Control,"CNC Programming (Basic), CAD/CAM",CNC Machining,"[""English"", ""Polish""]"
SP054,Male,46,22,Roofers United,Roofer,"Installing/repairing roofs (shingle, metal, flat)",Roofing,Apprenticeship,Roofing,Fall Protection,Basic Mobile Apps,Roof Installation,"[""English""]"
SP055,Female,35,12,Landscape Design Pro,Landscaper/Horticulturist,"Garden design, planting, maintenance, hardscaping",Landscaping,Diploma,Horticulture,Plant Identification,Basic Design Software,Landscape Maintenance,"[""English"", ""French""]"
SP056,Male,47,23,BuildStrong Construction,Construction Manager,"Project oversight, scheduling, budget management",Construction,B.Eng,Civil Engineering,Project Management,"MS Project, Procore, MS Office",Construction Mgmt,"[""English""]"
SP057,Female,36,11,Summit Projects,Site Supervisor,"Managing on-site crew, safety enforcement, quality control",Construction,Diploma,Construction Management,Safety Management (OSHA),"Basic Office Software, Procore",Site Supervision,"[""English"", ""Spanish""]"
SP058,Male,39,14,CivilWorks Engineering,Civil Engineer,"Structural design, site planning, permit applications",Civil Engineering,M.Eng,Structural Engineering,AutoCAD Proficiency,"AutoCAD, Civil 3D, MS Office",Structural Design,"[""English"", ""Hindi""]"
SP059,Female,41,16,CostRight Estimating,Construction Estimator,"Material take-offs, cost calculation, bid preparation",Construction,B.Sc,Quantity Surveying,Cost Control,"Estimating Software (e.g., Planswift), Excel",Cost Estimation,"[""English""]"
SP060,Male,33,8,SafeSite Solutions,Safety Officer,"Site inspections, safety training, incident investigation",Construction Safety,Safety Certifications (CSP),Occupational Health & Safety,Risk Assessment,"MS Office, Safety Mgmt Software",Safety Compliance,"[""English""]"
SP061,Female,39,15,People Solutions HR,HR Manager,"Overseeing HR dept, employee relations, policy dev",Human Resources,MBA,Human Resources,Employee Relations,"HRIS (Workday), MS Office Suite",HR Management,"[""English"", ""French""]"
SP062,Male,28,5,TalentFinders Inc.,Recruiter,"Sourcing candidates, interviewing, offer negotiation",Recruitment,BBA,Human Resources,Sourcing Techniques,"LinkedIn Recruiter, ATS (Greenhouse), MS Office",Talent Acquisition,"[""English""]"
SP063,Female,34,9,Corporate HR Dept.,HR Generalist,"Onboarding, benefits admin, performance mgmt support",Human Resources,BA,Psychology,Benefits Administration,"HRIS (SAP SuccessFactors), Excel",HR Operations,"[""English"", ""Spanish""]"
SP064,Male,43,17,Global Pay Solutions,Compensation Analyst,"Salary benchmarking, job evaluation, incentive plan design",Human Resources,B.Com,Finance,Analytical Skills,"Excel (Advanced), Comp. Software",Compensation & Benefits,"[""English""]"
