SP ID,Gender,Age,Total Years of Experience,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Education/Qualifications,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages
SP001,Male,32,5,DataCo,Data Scientist,ML model development,Data Science,M.Sc,Data Science,Statistical Analysis,"Python, R, SQL",Data Analysis,"[""English"", ""Hindi""]"
SP002,Female,29,3,TechCorp,Data Scientist,Data visualization and reporting,Data Science,B.Tech,Computer Science,Data Storytelling,"Tableau, Power BI",Data Visualization,"[""Spanish""]"
SP003,Male,35,7,Innovate Labs,Senior Data Scientist,Predictive analytics and model deployment,Data Science,Ph.D,Statistics,Machine Learning Expertise,"TensorFlow, PyTorch",Machine Learning,"[""English"", ""French""]"
SP004,Female,28,2,WebDev Inc.,Software Engineer,Frontend development with React,Software Development,B.E,Software Engineering,UI/UX Design,"React, JavaScript, HTML, CSS",Web Development,"[""English"", ""German""]"
SP005,Male,31,4,Cloud Solutions,Software Engineer,Backend development with Python/Django,Software Development,M.Tech,Computer Engineering,API Design,"Python, Django, Docker",Backend Development,"[""English""]"
SP006,Female,33,6,Mobile Apps Ltd.,Senior Software Engineer,Mobile app development with Swift,Software Development,B.Sc,Computer Applications,Mobile UI/UX,"Swift, Xcode",Mobile Development,"[""English"", ""Japanese""]"
SP007,Male,45,15,Legal Firm A,Lawyer,Corporate law and litigation,Legal,LLB,Corporate Law,Negotiation and Advocacy,Legal Research Software,Legal Expertise,"[""English"", ""Russian""]"
SP008,Female,40,12,Legal Firm B,Lawyer,Family law and mediation,Legal,JD,Family Law,Mediation and Counseling,Case Management Software,Mediation,"[""English"", ""Hindi""]"
SP009,Male,48,18,Legal Firm C,Senior Lawyer,Criminal defense and trials,Legal,LLM,Criminal Law,Trial Advocacy,Court Filing Systems,Trial Law,"[""English"", ""Spanish""]"
SP010,Female,50,22,City Hospital,Doctor,General medicine and patient care,Healthcare,MBBS,General Medicine,Emergency Response,Medical Records Software,Patient Care,"[""English"", ""Malayalam""]"
SP011,Male,55,25,Private Clinic,Surgeon,Surgical procedures and patient follow-up,Healthcare,MD,Surgery,Advanced Surgical Techniques,Surgical Planning Software,Surgery,"[""English"", ""Tamil""]"
SP012,Female,38,10,Bank of Finance,Financial Analyst,Investment analysis and portfolio management,Finance,MBA,Finance,Financial Modeling,"Excel, Bloomberg Terminal",Financial Analysis,"[""English"", ""French""]"
SP013,Male,42,14,Accounting Firm,Accountant,Tax preparation and auditing,Finance,CPA,Accounting,Tax Law Knowledge,"QuickBooks, Tax Software",Accounting,"[""English"", ""German""]"
SP014,Female,36,8,Insurance Co.,Insurance Underwriter,Risk assessment and policy underwriting,Finance,B.Com,Insurance,Risk Management,Underwriting Software,Risk Assessment,"[""English"", ""Telugu""]"
SP015,Male,30,5,Plumbing Services,Plumber,Plumbing installations and repairs,Trades,Trade Certificate,Plumbing,Problem Solving,Scheduling Software,Plumbing Repairs,"[""English"", ""Punjabi""]"
SP016,Female,34,7,Electrical Co.,Electrician,Electrical systems installation and maintenance,Trades,Trade Certificate,Electrical Engineering,Safety Procedures,Electrical Design Software,Electrical Work,"[""English"", ""Bengali""]"
SP017,Male,46,16,Carpentry Shop,Carpenter,Woodworking and furniture making,Trades,Trade Certificate,Carpentry,Precision and Detail,Design Software,Woodworking,"[""English"", ""Kannada""]"
SP018,Female,27,3,Auto Repair Shop,Mechanic,Vehicle repair and maintenance,Trades,Trade Certificate,Automotive Repair,Diagnostic Skills,Diagnostic Software,Auto Repair,"[""English"", ""Gujarati""]"
SP019,Male,39,12,HVAC Co.,HVAC Technician,HVAC system installation and maintenance,Trades,Trade Certificate,HVAC Systems,Troubleshooting,HVAC Control Software,HVAC Services,"[""English"", ""Urdu""]"
SP020,Female,43,15,Construction Co. A,Site Supervisor,Overseeing construction projects and site management,Construction,Diploma in Civil Eng.,Civil Engineering,Project Management,Construction Management Software,Site Management,"[""English"", ""Marathi""]"
SP021,Male,47,18,Construction Co. B,Civil Engineer,Structural design and calculations,Construction,B.E,Civil Engineering,Structural Analysis,"AutoCAD, Structural Software",Structural Design,"[""English""]"
SP022,Female,37,9,Construction Co. C,Architect,Architectural design and planning,Construction,B.Arch,Architecture,Design and Planning,Architectural Design Software,Architectural Design,"[""English"", ""Odia""]"
SP023,Male,52,24,Construction Co. D,Project Manager,Managing construction projects from start to finish,Construction,M.S. in Construction Mgmt,Construction Management,Project Planning and Execution,Project Management Software,Project Management,"[""English"", ""Assamese""]"
